KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_4GmaYSi,Get lost! We'll have nothing to do with the likes of you.,Hau ab! Mit Leuten wie dir wollen wir nichts zu tun haben.,Allez vous faire voir ! Nous n'avons rien à faire avec des gens comme vous.,Sparisci! Non avremo nulla a che fare con quelli come te.,¡Piérdete! No tendremos nada que ver con gente como tú.,,Você vai embora! Não teremos nada a ver com pessoas como você.,,"Проваливай! Мы не будем иметь ничего общего с такими, как вы.",消え失せろ! お前のような奴らには何もすることはない.,滚吧 我们不会和你这种人有任何瓜葛。,,,,,,
dialogue_CWe8S8e,Thank you very much for your invaluable help. Our head of house and the <color=#ffffff>ambassador </color>will definitely hear about it.\n\nWe are currently investigating the incidents further. \n\nVery disturbing.,Vielen Dank für Ihre unschätzbare Hilfe. Unser Hausleiter wird auf jeden Fall davon hören.\n\n Wir untersuchen die Vorfälle weiter. \n\nSehr beunruhigend.,Merci beaucoup pour votre aide inestimable. Notre chef de service en entendra parler. Nous sommes en train d'enquêter sur ces incidents. \n- Très troublant.,Grazie mille per il tuo prezioso aiuto. Il nostro capo della casa ne verrà sicuramente a conoscenza.\n}Stiamo attualmente indagando sugli incidenti. \nMolto inquietante.,Muchas gracias por tu inestimable ayuda. Nuestro jefe de la casa se enterará sin duda.\nEn estos momentos estamos investigando más a fondo los incidentes. \nMuy inquietante.,,"Muito obrigado por sua inestimável ajuda. Nosso chefe da casa com certeza ficará sabendo disso.\n\nNo momento, estamos investigando os incidentes mais a fundo. \nMuito perturbador.",,Большое спасибо за вашу неоценимую помощь. Наш глава дома обязательно узнает об этом.\n\nВ настоящее время мы проводим дальнейшее расследование инцидентов. \n\nОчень тревожно.,"本当にありがとう. 私たちの家の責任者は間違いなくそのことを耳にするだろう. \n\n現在, この事件についてさらに調査中である. \n\n非常に不愉快だ.",非常感谢您宝贵的帮助。我们的家族首领和<color=#ffffff>大使</color>一定会知道这件事。\n\n我们正在进一步调查这些事件。\n\n非常令人不安。,,,,,,
dialogue_SmOWS44,"I'm not sure how to classify what happened. These creatures... \nAnyway, the commander is very enthusiastic about you. Me as well.\n\nI'll send a recommendation to our <color=#ffffff>Ambassador Hyzani</color>. \nHope to see you again anytime, hopefully soon!","Ich bin mir nicht sicher, wie ich das Geschehene einordnen soll. Diese Kreaturen... \nein, jedenfalls ist der Commander sehr begeistert von Ihnen. Ich auch. \n\n Ich werde eine Empfehlung an unseren Botschafter Hyzani schicken. \nHoffentlich sehen wir uns irgendwann wieder, hoffentlich bald!","Je ne suis pas sûr de savoir comment classer ce qui s'est passé. Ces créatures... \nQuoi qu'il en soit, le commandant est très enthousiaste à votre sujet. Moi aussi. Je vais envoyer une recommandation à notre ambassadeur Hyzani. \nJ'espère vous revoir un jour ou l'autre, bientôt j'espère !","Non so come classificare quello che è successo. Queste creature... \nComunque, il comandante è molto entusiasta di te. Anch'io. Invierò una raccomandazione al nostro ambasciatore Hyzani. \nSpero di rivederti in qualsiasi momento, spero presto!","No estoy seguro de cómo clasificar lo ocurrido. Esas criaturas... \nEn cualquier caso, el comandante está muy entusiasmado contigo. Yo también. Enviaré una recomendación a nuestro embajador Hyzani. \n¡Espero volver a verte en cualquier momento, ojalá sea pronto!",,"Não tenho certeza de como classificar o que aconteceu. Essas criaturas... \nDe qualquer forma, o comandante está muito entusiasmado com você. Eu também. Enviarei uma recomendação ao nosso embaixador Hyzani. \nEspero ver você novamente a qualquer momento, espero que em breve!",,"Я не знаю, как классифицировать то, что произошло. Эти существа... \nВ любом случае, командир в восторге от вас. Я тоже.\n\nЯ отправлю рекомендацию нашему послу Хизани. \nНадеюсь увидеть вас снова в любое время, надеюсь, что скоро!","何が起こったのかをどう分類していいのかわからない. これらの生き物は... \nとにかく, 司令官はあなたをとても気に入っている. 私もだ. \n\nヒザニ大使に推薦状を送るよ. \nまたいつでも, できれば近いうちに会えることを願っている!",我不确定该怎样分类刚发生的事情。这些生物……\n总之，指挥官对你非常热情。我也是。\n\n我会向我们的<color=#ffffff>大使Hyzani</color>发送推荐信。\n希望不久能再见到你！,,,,,,
dialogue_iOu8W0G,Watch out! What are you doing stumbling around in a restricted area? I almost killed you. \n\nDid Ikkenz hire you to help him? That would fit. The lazy bastard. \n\nTalk to each other before you get on my nerves. <color=#ffffff>He is up in the tower.</color>,"Passt auf! Was stolperst du in einem Sperrgebiet herum? Ich hätte dich fast umgebracht. \n\nHat Ikkenz dich angeheuert, ihm zu helfen? Das würde passen. Der faule Bastard. \n\nRedet miteinander bevor ihr mir auf die Nerven geht. <color=#ffffff>Er ist oben im Turm.</color>",Attention ! Qu'est-ce que vous faites à trébucher dans une zone interdite ? J'ai failli vous tuer. \n- Est-ce qu'Ikkenz vous a engagé pour l'aider ? Cela correspondrait. Le bâtard paresseux. \n- Parlez à l'autre avant de m'énerver. <color=#ffffff>Il est dans la tour.</color>,Attenzione! Cosa fai in giro in un'area riservata? Ti ho quasi ucciso. \nIkkenz ti ha assunto per aiutarlo? Sarebbe perfetto. Quel bastardo pigro. \nParlate tra di voi prima di darmi sui nervi. <color=#ffffff>E' nella torre.,¡Cuidado! ¿Qué haces dando tumbos por una zona restringida? Casi te mato. \n¿Te contrató Ikkenz para que le ayudaras? Eso encajaría. El muy vago. \nHablad entre vosotros antes de que me pongáis de los nervios. <color=#ffffff>Está arriba en la torre.</color>,,Cuidado! O que você está fazendo em uma área restrita? Eu quase matei você. \nIkkenz contratou você para ajudá-lo? Você se encaixaria. O bastardo preguiçoso. \nConversem um com o outro antes que vocês me irritem. <color=#ffffff>Ele está na torre.</color>,,"Осторожно! Что ты делаешь, шатаясь в запретной зоне? Я чуть не убил вас. \n\nИккенз нанял вас, чтобы помочь ему? Это подходит. Ленивый ублюдок. \n\nПоговорите друг с другом, пока вы не стали действовать мне на нервы. <Он в башне.","気をつけろ! 立入禁止区域で何をフラフラしているんだ? もう少しで殺すところだった. \n\nイッケンズに雇われたのか? それはぴったりだな. 怠け者め. \n\n私の神経を逆なでする前に, お互いに話し合おう. <color=#ffffff>彼はタワーの上にいる.</color>",小心!你在限制区域里跌跌撞撞地做什么?我差点杀了你。\n\nIkkenz雇你来帮助他了吗?那倒合适。那个懒鬼。\n\n在惹我生气之前先彼此交谈。<color=#ffffff>他在塔上。</color>,,,,,,
dialogue_RC4aN8a,"@q0Ah, you must be the trader <color=#ffffff>Ikkez</color> has hired to help us. Be warned. There is nothing of value here and the rest is in the safe. \nWait a minute. \nForget I told you that. \n\nSo what's it gonna be? Are you going to watch me work, or are you going to help me?","Ah, du musst der Händler sein, den Ikkez angeheuert hat, um uns zu helfen. Seid gewarnt. Hier gibt es nichts von Wert und der Rest ist im Safe. \nWarte einen Moment. \nVergiss, dass ich dir das gesagt habe. \n\nSo, was wird es sein? Wirst du mir bei der Arbeit zusehen, oder wirst du mir helfen?","Ah, vous devez être le commerçant qu'Ikkez a engagé pour nous aider. Soyez prévenu. Il n'y a rien de valeur ici et le reste est dans le coffre. \nAttendez une minute. \n- Oubliez ce que je vous ai dit. \n- Alors qu'est-ce que ça va être ? Tu vas me regarder travailler ou tu vas m'aider ?","Ah, tu devi essere il commerciante che Ikkez ha assunto per aiutarci. Ti avverto. Non c'è nulla di valore qui e il resto è nella cassaforte. \nAspetta un attimo. \nDimentica che te l'ho detto. \nAllora, cosa succederà? Mi guarderai lavorare o mi aiuterai?","Ah, tú debes de ser el comerciante que Ikkez ha contratado para que nos ayude. Te lo advierto. Aquí no hay nada de valor y el resto está en la caja fuerte. \nEspera un momento. \nOlvida que te lo he dicho. \n¿Entonces qué va a ser? ¿Vas a verme trabajar o vas a ayudarme?",,"Ah, você deve ser o comerciante que Ikkez contratou para nos ajudar. Você está avisado. Não há nada de valor aqui e o restante está no cofre. \nEspere um pouco. \nEsqueça que eu disse isso a você. \nEntão, como vai ser? Você vai me ver trabalhar ou vai me ajudar?",,"А, вы, должно быть, торговец, которого нанял Иккез, чтобы помочь нам. Будьте внимательны. Здесь нет ничего ценного, а остальное в сейфе. \nПодождите минутку. \nЗабудьте, что я вам говорил. \n\nТак что же это будет? Ты будешь смотреть, как я работаю, или будешь мне помогать?","ああ, あなたがイッケンズが雇ったトレーダーに違いない. ご注意を. ここには価値のあるものは何もないし, 残りは金庫の中だ. \nちょっと待ってくれ. \n言ったことは忘れてくれ. \n\nそれでどうするんだ? 私の仕事を見るのか, それとも手伝うのか?",@q0啊，你一定是贸易商<color=#ffffff>Ikkez</color>雇来帮忙的。提醒你，这里没什么值钱的东西，其他东西都放在保险箱里。\n等一下。\n忘了我刚说的话。\n\n那你打算怎么做？是看我工作，还是帮我一把？,,,,,,
dialogue_iGiGGSq,"@q0As I'm sure Ikkenz has already told you, I'm working on a new Ripperdog breed. Faster, stronger, tougher, yet still more manageable. Well, if only I would find capable helpers who don't whine when one of my little ones pinches his butt. Sissies. So, if you want to help, then please collect my little ones. Your predecessor just left them alone. The poor.. \n<color=#ffffff>Your task is easy:</color> Go to each of the <color=#ffffff>four</color> cages. Every cage has a <color=#ffffff>recall</color> unit. Use it to call the cubs to the shelter. Then use the built-in <color=#ffffff>scanner</color> to examine them. Very simple.","Wie Ikkenz dir sicher schon gesagt hat, arbeite ich an einer neuen Ripperdog-Rasse. Schneller, stärker, härter, aber dennoch handlicher. Nun, wenn ich nur fähige Helfer finden würde, die nicht jammern, wenn einer meiner Kleinen in den Hintern kneift. Weicheier. Also, wenn ihr helfen wollt, dann sammelt bitte meine Kleinen ein. Ihr Vorgänger hat sie einfach in Ruhe gelassen. Die Armen... \n<color=#ffffff>Ihre Aufgabe ist einfach:</color> Gehen Sie zu jedem der <color=#ffffff>vier</color> Käfige. Jeder Käfig hat eine <color=#ffffff>Rückrufeinheit</color>. Benutze es, um die Jungtiere in den Schutzraum zu rufen. Benutze dann den eingebauten <color=#ffffff>Scanner</color>, um sie zu untersuchen. Das ist sehr einfach.","Comme je suis sûr qu'Ikkenz vous l'a déjà dit, je travaille sur une nouvelle race de Ripperdog. Plus rapide, plus fort, plus coriace, mais aussi plus facile à gérer. Si seulement je pouvais trouver des assistants compétents qui ne pleurnichent pas quand l'un de mes petits se pince les fesses. Des mauviettes. Si vous voulez m'aider, recueillez mes petits, s'il vous plaît. Votre prédécesseur les a laissés seuls. Les pauvres.. \n<color=#ffffff>Votre tâche est facile :</color> Allez dans chacune des <color=#ffff>quatre</color> cages. Chaque cage possède une <color=#ffffff>unité de rappel</color>. Utilisez-la pour appeler les petits au refuge. Utilisez ensuite le <color=#ffffff>scanner</color> intégré pour les examiner. C'est très simple.","Come sicuramente Ikkenz ti ha già detto, sto lavorando a una nuova razza di cane da squartamento. Più veloce, più forte, più resistente, ma comunque più maneggevole. Beh, se solo trovassi degli aiutanti capaci che non si lamentino quando uno dei miei piccoli gli pizzica il sedere. Femminucce. Quindi, se vuoi aiutarmi, ti prego di raccogliere i miei piccoli. Il tuo predecessore li ha lasciati soli. Poveri... \n<color=#ffffff>Il tuo compito è facile:</color> vai in ognuna delle <color=#ffff>quattro gabbie</color>. Ogni gabbia ha un'unità di <color=#ffff>richiamo</color>. Usala per chiamare i cuccioli al rifugio. Poi usa lo <color=#ffff>scanner</color> integrato per esaminarli. Molto semplice.","Como seguro que ya te ha dicho Ikkenz, estoy trabajando en una nueva raza de Ripperdog. Más rápida, más fuerte, más resistente, pero aún así más manejable. Bueno, si al menos encontrara ayudantes capaces que no lloriqueen cuando uno de mis pequeños le pellizca el culo. Maricas. Así que, si quieres ayudar, haz el favor de recoger a mis pequeños. Tu predecesor los dejó solos. Los pobres.. \n<color=#ffffff>Tu tarea es fácil:</color> Ve a cada una de las <color=#ffffff>cuatro</color> jaulas. Cada jaula tiene una unidad <color=#ffffff>de llamada</color>. Utilízala para llamar a los cachorros al refugio. Luego utiliza el <color=#ffffff>escáner</color> incorporado para examinarlos. Muy sencillo.",,"Como tenho certeza de que Ikkenz já disse a você, estou trabalhando em uma nova raça de Ripperdog. Mais rápido, mais forte, mais resistente, mas ainda assim mais manejável. Bem, se ao menos eu encontrasse ajudantes capazes que não choram quando um dos meus pequeninos belisca seu traseiro. Maricas. Então, se você quiser ajudar, por favor, recolha meus pequeninos. Seu antecessor simplesmente os deixou sozinhos. Os pobres... \n<color=#ffffff>Sua tarefa é fácil:</color> Vá a cada uma das <color=#ffffffff>quatro</color> gaiolas. Cada gaiola tem uma unidade de <color=#ffffffff>chamada</color>. Use-a para chamar os filhotes para o abrigo. Em seguida, use o <color=#ffffff>scanner</color> integrado para examiná-los. É muito simples.",,"Как, я уверен, Иккенз уже сказал тебе, я работаю над созданием новой породы собак-потрошителей. Быстрее, сильнее, выносливее, но при этом более управляемой. Если бы только я нашел способных помощников, которые не будут ныть, когда кто-то из моих малышей ущипнет его за задницу. Слюнтяи. Итак, если вы хотите помочь, то, пожалуйста, соберите моих малышей. Ваш предшественник просто оставил их одних. Бедные... \n<color=#ffffff>Ваша задача проста:</color> Подойдите к каждой из <color=#ffff>четырех</color> клеток. В каждой клетке есть блок <color=#ffffff>вызова</color>. Используйте его, чтобы позвать детенышей в убежище. Затем с помощью встроенного <color=#ffffff>сканера</color> обследуйте их. Очень просто.","イッケンズからすでに聞いていると思うが, 私はリッパードッグの新しい犬種を研究している. より速く, より強く, よりタフで, それでいて扱いやすい. まあ, 小さな子供がお尻をつねったときに泣き言を言わない有能な助っ人さえ見つかればいいんだがね. お姉さんたち. だから, もし手伝いたいなら, 私の小さな子供たちを集めてほしい. あなたの前任者は彼らを放っておいた. 貧しい人々 .. \n <color=#ffffff>あなたの仕事は簡単だ</color> . <color=#ffffff>: </color> <color=#ffffff>4つの</color> 檻のそれぞれに行く. すべてのケージに <color=#ffffff>リコール</color> 装置がある. 子グマをシェルターに呼ぶときに使う. その後, 内蔵 <color=#ffffff>スキャナー</color> を使って調べる. とてもシンプルだ.",@q0正如Ikkenz肯定已经告诉你的，我正在研发一种新的撕裂犬品种。更快、更强、更坚韧，而且更容易控制。唉，只是我能找到不抱怨我那些小家伙挠他屁股的帮手就好了。胆小鬼。所以，如果你想帮忙，请把我的小家伙们收集起来。你的前任只是放任它们。可怜的家伙们……\n<color=#ffffff>你的任务很简单：</color>去每个<color=#ffffff>四个</color>笼子。每个笼子里都有个<color=#ffffff>召唤装置</color>。用它把幼崽召回避难所。然后使用内置的<color=#ffffff>扫描仪</color>检查它们。非常简单。,,,,,,
dialogue_miCm0KE,"So here should be... where is the stupid frame? Ah, you're still here? Don't worry, the little ones can take care of themselves. So that they can let off steam, we have distributed their shelters on the moon. \n\nBut somebody has to look after them: <color=#ffffff>Call</color> them together. <color=#ffffff>Health check</color>. It's not that hard, is it?","Also, hier sollte es sein... wo ist der dumme Rahmen? Ah, du bist immer noch hier? Keine Sorge, die Kleinen können auf sich selbst aufpassen. Damit sie sich austoben können, haben wir ihre Unterstände auf dem Mond verteilt. \n\nAber jemand muss sich um sie kümmern: <color=#ffffff>Ruft</color> sie zusammen. <color=#ffffff>Gesundheitscheck</color>. Das ist doch nicht so schwer, oder?","Alors voilà... où est ce stupide cadre ? Ah, vous êtes encore là ? Ne vous inquiétez pas, les petits se débrouillent tout seuls. Pour qu'ils puissent se défouler, nous avons réparti leurs abris sur la lune. <br />Mais il faut bien que quelqu'un s'occupe d'eux : <color=#ffffff>Call</color> les rassembler. <color=#ffffff>Vérification de santé</color>. Ce n'est pas si difficile, n'est-ce pas ?","Allora, qui dovrebbe esserci... dov'è la stupida cornice? Ah, sei ancora qui? Non preoccuparti, i piccoli sanno badare a se stessi. Affinché possano sfogarsi, abbiamo distribuito i loro rifugi sulla luna. \nMa qualcuno deve prendersi cura di loro: <color=#ffffff>Chiamali</color> insieme. <color=#ffffff>Controllo della salute</color>. Non è così difficile, vero?","Aquí debería estar... ¿dónde está el estúpido marco? Ah, ¿sigues aquí? No te preocupes, los pequeños saben cuidarse solos. Para que puedan desahogarse, hemos distribuido sus refugios en la Luna. \nPero alguien tiene que cuidar de ellos: <color=#ffffff>Reúnelos. <color=#ffffff>Comprobación de salud</color>. No es tan difícil, ¿verdad?",,"Então, aqui deve estar... onde está a estúpida moldura? Ah, você ainda está aqui? Não se preocupe, os pequenos podem cuidar de si mesmos. Para que eles possam desabafar, distribuímos seus abrigos na lua. \nMas alguém tem que cuidar deles: <color=#ffffffff>Chamem-nos</color> juntos. <color=#ffffffff>Exame de saúde</color>. Não é tão difícil assim, não é?",,"Итак, здесь должна быть... где эта дурацкая рамка? А, вы все еще здесь? Не волнуйтесь, малыши сами о себе позаботятся. Чтобы они могли выпустить пар, мы распределили их убежища на Луне. \nНо кто-то должен за ними присматривать: <color=#ffffff>Призываем</color> их вместе. <color=#ffffff>Проверка здоровья</color>. Это ведь не так сложно, правда?","では, ここで...バカなフレームはどこだ? まだいたのか? 心配しなくても, 小さい子たちは自分のことは自分でできる. そのため, 私たちは彼らの避難所を月面に設置した. \n\nしかし, 誰かが彼らの面倒を見なければならない: 彼らを一緒に <color=#ffffff>呼んで</color> くれ. <color=#ffffff>健康チェック</color> だそんなに難しくないだろう?","所以这里应该是...那个愚蠢的框架在哪里?啊,你还在这里?别担心,小家伙们可以照顾自己。为了让它们发泄,我们已经在月球上分散了它们的庇护所。\n\n但得有人照顾它们:<color=#ffffff>召集</color>它们。<color=#ffffff>健康检查</color>。这不难,对吧?",,,,,,
dialogue_44qECWG,<color=#44ff00>Affirmative!</color>,<color=#44ff00>Bestätigt!</color>,<color=#44ff00>Affirmatif!</color>,<color=#44ff00>Affermativo!</color>,<color=#44ff00>¡Afirmativo!</color>,,<color=#44ff00>Afirmativo!</color>,,<color=#44ff00>Утвердительно!</color>,<color=#44ff00>了解だ!</color>,<color=#44ff00>肯定!</color>,,,,,,
dialogue_SuemiWO,<color=#ffae00>I need to prepare first.</color>,<color=#ffae00>Ich muss mich erst vorbereiten.</color>,<color=#ffae00>Je dois d'abord me préparer.</color>,<color=#ffae00>Prima devo prepararmi.</color>,<color=#ffae00>Primero tengo que prepararme.</color>,,<color=#ffae00>Preciso me preparar primeiro.</color>,,<color=#ffae00>Сначала мне нужно подготовиться.</color,<color=#ffae00>まず準備が必要だ.</color>,<color=#ffae00>我需要先准备一下。</color>,,,,,,
dialogue_GSK8OKS,"@q0Only so few survived? What a bummer. After all. You've been thinking all along. However, the inclusion of the claw marks in the report ... I've never seen anything like that here. I'll add that to the database. However, this world isn't without its dangers. I am not too worried, but apparently, the animals still need a little more training. \n\n<color=#fbff00>Please come back later</color> when I'm done with the formalities.","Nur so wenige haben überlebt? So ein Pech. Immerhin. Du hast die ganze Zeit nachgedacht. Aber die Kratzspuren in dem Bericht... So etwas habe ich hier noch nie gesehen. Ich werde das in die Datenbank aufnehmen. Aber diese Welt ist nicht ohne Gefahren. Ich mache mir keine allzu großen Sorgen, aber anscheinend müssen die Tiere noch ein wenig mehr trainiert werden. \n\n<color=#fbff00>Bitte kommen Sie später wieder</color>, wenn ich mit den Formalitäten fertig bin.","Il n'y a que quelques survivants ? Quelle déception ! Après tout. C'est ce que vous pensiez depuis le début. Cependant, l'inclusion des marques de griffes dans le rapport... Je n'ai jamais rien vu de tel ici. Je l'ajouterai à la base de données. Cependant, ce monde n'est pas sans danger. Je ne suis pas trop inquiet, mais apparemment, les animaux ont encore besoin d'un peu d'entraînement. \n-<color=#fbff00>Veuillez revenir plus tard</color> lorsque j'en aurai terminé avec les formalités.","Solo pochi sono sopravvissuti? Che sfortuna. Dopotutto. Hai sempre pensato che fosse così. Tuttavia, l'inclusione dei segni degli artigli nel rapporto... Non ho mai visto nulla del genere qui. Lo aggiungerò al database. Tuttavia, questo mondo non è privo di pericoli. Non sono troppo preoccupato, ma a quanto pare gli animali hanno ancora bisogno di un po' di addestramento. \n\n<color=#fbff00>Ti prego di tornare più tardi</color> quando avrò terminato le formalità.","¿Sólo han sobrevivido unos pocos? Qué fastidio. Al fin y al cabo. Has estado pensando todo el tiempo. Sin embargo, la inclusión de las marcas de garras en el informe... Nunca había visto nada parecido aquí. Lo añadiré a la base de datos. Sin embargo, este mundo no está exento de peligros. No estoy demasiado preocupado, pero parece que los animales aún necesitan un poco más de adiestramiento. \n\n<color=#fbff00>Por favor, vuelve más tarde</color> cuando haya terminado con las formalidades.",,"Apenas alguns sobreviveram? Que pena. Afinal de contas. Você estava pensando o tempo todo. No entanto, a inclusão das marcas de garras no relatório... Nunca vi nada parecido com isso aqui. Vou adicionar isso ao banco de dados. No entanto, este mundo não está isento de perigos. Não estou muito preocupado, mas, aparentemente, os animais ainda precisam de um pouco mais de treinamento. \n\n<color=#fbff00>Por favor, volte mais tarde</color> quando eu tiver terminado as formalidades.",,"Только немногие выжили? Какой облом. В конце концов. Вы все это время думали. Однако, включение в отчет следов когтей... Я никогда не видел здесь ничего подобного. Я внесу это в базу данных. Однако этот мир не лишен опасностей. Я не слишком беспокоюсь, но, видимо, животные все же нуждаются в дополнительной дрессировке. \n\n<color=#fbff00>Пожалуйста, приходите позже</color>, когда я закончу с формальностями.","生き残ったのはごくわずか? 残念だ. 結局のところ. あなたはずっと考えていた. しかし, 報告書に爪痕と記載されているが... そんなものはここでは見たことがない. データベースに追加しておく. しかし, この世界に危険がないわけではない. 私はそれほど心配していないが, 動物たちにはまだもう少し訓練が必要らしい. \n\n手続きが終わったら, また <color=#fbff00>後で来て</color> くれ.",@q0只剩这么几个幸存者？真扫兴。毕竟，你一直在思考。然而，报告中提到的爪痕……我在这里从未见过这样的东西。我会把它添加到数据库中。不过，这个世界并非没有危险。我倒是不太担心，但显然，这些动物还是需要更多训练。\n\n<color=#fbff00>请稍后再来</color>，当我办完手续时。,,,,,,
dialogue_eOeK00G,Be right back.,Ich bin gleich wieder da.,Je reviens tout de suite.,Torno subito.,Ahora vuelvo.,,Você voltará logo em seguida.,,Сейчас вернусь.,すぐもどってくるよ.,马上回来,,,,,,
dialogue_8CmKWST,"@q0So, now the real fun begins. I have ordered the crew to build us a <color=#ffffff>training arena</color> where we can train and test the skills of our animals. <color=#ffffff>Go there first. </color>\n\nI'll get back to you via the surveillance and give you instructions.","So, jetzt beginnt der eigentliche Spaß. Ich habe die Mannschaft beauftragt, eine <color=#ffffff>Trainingsarena</color> zu bauen, in der wir die Fähigkeiten unserer Tiere trainieren und testen können. <color=#ffffff>Geht zuerst dorthin. </color>\n\n Ich melde mich über die Überwachung und gebe euch Anweisungen.","Maintenant, les choses sérieuses commencent. J'ai ordonné à l'équipe de nous construire une <color=#ffffff>arène d'entraînement</color> où nous pourrons entraîner et tester les compétences de nos animaux. <color=#ffffff>Allez-y en premier. </color>\nJe vous recontacterai par le biais de la surveillance et vous donnerai des instructions.","Quindi, ora inizia il vero divertimento. Ho ordinato all'equipaggio di costruire un'arena di <color=#ffffff>addestramento</color> dove potremo allenare e mettere alla prova le abilità dei nostri animali. <color=#ffffff>Vai lì per primo. </Ti contatterò tramite la sorveglianza e ti darò istruzioni.",Ahora empieza la verdadera diversión. He ordenado a la tripulación que nos construya una <color=#ffffff> arena de entrenamiento</color> donde podamos entrenar y poner a prueba las habilidades de nuestros animales. <color=#ffffff>Id allí primero. </color>n\nMe pondré en contacto contigo a través de la vigilancia y te daré instrucciones.,,"Então, agora começa a verdadeira diversão. Ordenei que a equipe construísse uma <color=#ffffffff>arena de treinamento</color> onde possamos treinar e testar as habilidades de nossos animais. <color=#ffffff>Você deve ir lá primeiro. </color>\n\nEntrarei em contato com você por meio da vigilância e lhe darei instruções.",,"Итак, теперь начинается настоящее веселье. Я приказал команде построить для нас <color=#ffffff>тренировочную арену</color>, где мы сможем тренировать и проверять навыки наших животных. <color=#ffffff>Первым делом отправляйтесь туда. </Я свяжусь с вами через систему наблюдения и дам вам инструкции.","さあ, これからが本当の楽しみの始まりだ. 私はクルーに命じて, 動物たちを訓練し, その技量を試すことのできる <color=#ffffff>訓練場を</color> 作らせた. <color=#ffffff>まずそこに行く. </color> \n\nまた監視カメラを通じて連絡し, 指示を出す.",@q0那么，真正的乐趣现在开始了。我已经下令让船员建造一座<color=#ffffff>训练竞技场</color>，我们可以在这里训练并测试动物的技能。<color=#ffffff>先去那里。</color>\n\n我会通过监控与你联系并给出指示。,,,,,,
dialogue_WUSGSuo,"Don't worry, I won't use you as bait. Although ... that would certainly be exciting. But not today. \n\nPlease go over to the <color=#ffffff>training arena</color>. I will then give you instructions over the com channel.","Keine Sorge, ich werde dich nicht als Köder benutzen. Obwohl ... das wäre sicher aufregend. Aber nicht heute. \n\nGehen Sie bitte zur <color=#ffffff>Trainingsarena</color> hinüber. Ich werde dir dann über den Com-Kanal Anweisungen geben.","Ne vous inquiétez pas, je ne vous utiliserai pas comme appât. Quoique... ce serait certainement excitant. Mais pas aujourd'hui. \nVeuillez vous rendre dans l'<color=#ffffff>arène d'entraînement</color>. Je vous donnerai des instructions sur le canal de communication.","Non preoccuparti, non ti userò come esca. Anche se... sarebbe sicuramente eccitante. Ma non oggi. \nTi prego di recarti nell'<color=#ffffff>arena di allenamento</color>. Ti darò istruzioni attraverso il canale di comunicazione.","No te preocupes, no te utilizaré como cebo. Aunque... eso sí que sería emocionante. Pero hoy no. \nPor favor, ve a la <color=#ffffff> arena de entrenamiento</color>. Luego te daré instrucciones por el canal de comunicaciones.",,"Não se preocupe, não usarei você como isca. Embora... isso certamente seria emocionante. Mas não hoje. \nPor favor, vá até a <color=#ffffffff>arena de treinamento</color>. Depois, darei instruções a você pelo canal de comunicação.",,"Не волнуйтесь, я не буду использовать вас в качестве приманки. Хотя... это, конечно, было бы интересно. Но не сегодня. \n\nПожалуйста, пройдите на <color=#ffffff>тренировочную арену</color>. Я дам вам инструкции по каналу связи.","心配するな, あなたを餌にはしないから. でも...それは確かにエキサイティングだろうね. しかし, 今日は違う. \n\n <color=#ffffff>トレーニングアリーナに行って</color> くれ. その後, 通信チャンネルで指示を出す.","别担心,我不会把你当诱饵。虽然...那肯定会很刺激。但不是今天。\n\n请前往<color=#ffffff>训练竞技场</color>。然后我将通过通讯频道给你指示。",,,,,,
